"3","germany","3"
"12","ecuador","12"
"31","costa rica","31"
"5","brazil","5"
"13","ghana","13"
"20","czech republic","20"
"1","italy","1"
"24","tunisia","24"
"9","spain","9"
"8","ukraine","8"
"29","saudi arabia","28"
"7","england","7"
"18","paraguay","18"
"14","sweden","14"
"28","japan","28"
"22","croatia","22"
"16","australia","16"
"19","ivory coast","19"
"11","netherlands","11"
"6","argentina","6"
"32","serbia and montenegro","32"
"27","trinidad and tobago","27"
"4","portugal","4"
"25","iran","25"
"23","angola","23"
"2","france","2"
"30","togo","30"
"10","switzerland","10"
"21","poland","21"
"26","united states","25"
"15","mexico","15"
"17","south korea","17"
